Begin,,End,,,,,Channels,Recordings,,,Hi Def,Low Def,Percent of smaller,
Date,Time,Date,Time,Channel,Watched,Watched,NBCSNHD,81,,,,,,
2016/8/3,6:00 PM,2016/8/3,9:00 PM,NBCSNHD,Yes,,WCMHDT,84,,,,,,
2016/8/3,8:00 PM,2016/8/3,9:00 PM,WCMHDT,Yes,,FXHD,3,,,,,,
2016/8/4,7:00 AM,2016/8/4,8:00 AM,NBCSNHD,Yes,,USAHD,45,,,,,,
2016/8/4,12:00 PM,2016/8/4,3:00 PM,NBCSNHD,Yes,,FOODHD,3,,,,,,
2016/8/4,10:00 PM,2016/8/4,10:33 PM,FXHD,Yes,,MNBCHD,27,,,,,,
2016/8/4,10:00 PM,2016/8/4,11:00 PM,USAHD,Yes,,CNBCHD,17,,,,,,
2016/8/5,7:30 PM,2016/8/6,12:00 AM,WCMHDT,Yes,,TBSHD,3,,,,,,
2016/8/5,9:00 PM,2016/8/5,9:30 PM,FOODHD,Yes,,AMCHD,1,,,,,,
2016/8/6,1:37 AM,2016/8/6,5:00 AM,WCMHDT,Yes,,TOONHD,1,,,,,,
2016/8/6,8:00 AM,2016/8/6,10:30 AM,WCMHDT,Yes,,TLCHD,1,,,,,,
2016/8/6,9:00 AM,2016/8/6,12:00 PM,NBCSNHD,Yes,,,0,,,,,,
2016/8/6,10:30 AM,2016/8/6,2:30 PM,WCMHDT,Yes,,,,,,,,,
2016/8/6,12:00 PM,2016/8/6,1:00 PM,NBCSNHD,Yes,,,,,,,,,
2016/8/6,12:00 PM,2016/8/6,2:15 PM,MNBCHD,Yes,,,,,,,,,
2016/8/6,1:00 PM,2016/8/6,4:00 PM,NBCSNHD,Yes,,,,,,,,,
2016/8/6,2:15 PM,2016/8/6,5:00 PM,MNBCHD,Yes,,,,,,,,,
2016/8/6,2:30 PM,2016/8/6,4:15 PM,WCMHDT,Yes,,,,,,,,,
2016/8/6,3:00 PM,2016/8/6,4:00 PM,USAHD,Yes,,,,,,,,,
2016/8/6,4:00 PM,2016/8/6,5:30 PM,USAHD,Yes,,,,,,,,,
2016/8/6,4:00 PM,2016/8/6,6:00 PM,NBCSNHD,Yes,,,,,,,,,
2016/8/6,4:15 PM,2016/8/6,6:00 PM,WCMHDT,Yes,,,,,,,,,
2016/8/6,5:00 PM,2016/8/6,8:00 PM,CNBCHD,Yes,,,,,,,,,
2016/8/6,5:30 PM,2016/8/6,6:30 PM,USAHD,Yes,,,,,,,,,
2016/8/6,6:00 PM,2016/8/6,8:00 PM,NBCSNHD,Yes,,,,,,,,,
2016/8/6,6:30 PM,2016/8/6,8:00 PM,USAHD,Yes,,,,,,,,,
2016/8/6,8:00 PM,2016/8/7,12:00 AM,WCMHDT,Yes,,Volleyball,Primetime...,,,,,,
2016/8/6,8:00 PM,2016/8/6,9:00 PM,NBCSNHD,Yes,,,,,,,,,
2016/8/6,9:00 PM,2016/8/7,12:00 AM,NBCSNHD,Yes,,,,,,,,,
2016/8/7,12:30 AM,2016/8/7,1:30 AM,WCMHDT,Yes,,,,,,,,,
2016/8/7,1:30 AM,2016/8/7,5:00 AM,WCMHDT,Yes,,replay of prime time?,Repeat,Yes,,,,,
2016/8/7,2:00 AM,2016/8/7,6:00 AM,NBCSNHD,Yes,,,,,,,,,
2016/8/7,6:00 AM,2016/8/7,7:00 AM,NBCSNHD,Yes,,,,,,,,,
2016/8/7,9:00 AM,2016/8/7,11:00 AM,NBCSNHD,Yes,,,,,,,,,
2016/8/7,10:00 AM,2016/8/7,12:00 PM,WCMHDT,Yes,,Bicycle race,,,,,,,
2016/8/7,11:00 AM,2016/8/7,1:00 PM,NBCSNHD,Yes,,Yes?,,,,,,,
